,English,Telugu,Hindi,Spanish
English,0.9999998807907104,0.568781852722168,0.9573835134506226,0.9799277186393738
Telugu,0.568781852722168,1.0,0.5904883742332458,0.6404350399971008
Hindi,0.9573835134506226,0.5904883742332458,1.0,0.9588401317596436
Spanish,0.9799277186393738,0.6404350399971008,0.9588401317596436,1.0000001192092896
